num,type,input,response,time_s,verdict
26,restaurant_mixed,The risotto was overcooked and the sommelier was rude,"Here is what I found:

  😞 SERVICE: negative  (about: sommelier)
  😞 FOOD: negative  (about: risotto)

Want to ask about a specific aspect like food quality or service?",0.003,correct
27,restaurant_mixed,Food was decent but the place was dirty,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: place)
  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.002,correct
28,restaurant_mixed,Excellent taste but small portions,"Here is what I found:

  😊 FOOD: positive  (about: taste, excellent taste)
  😞 MISCELLANEOUS: negative  (about: portions, small portions)

Want to ask about a specific aspect like food quality or service?",0.003,correct
29,domain_query,Is the food here good?,"Based on 3713 reviews in my training data, food is rated positively 70% of the time and negatively 17% of the time.",0.0,correct
30,domain_query,What do people say about the service?,"Based on 3713 reviews in my training data, service is rated positively 54% of the time and negatively 37% of the time.",0.0,correct
31,domain_query,How is the ambience?,"Based on 3713 reviews in my training data, ambience is rated positively 61% of the time and negatively 23% of the time.",0.0,correct
32,domain_query,Tell me about the desserts,"Based on 3713 reviews in my training data, food is rated positively 70% of the time and negatively 17% of the time.",0.0,correct
33,domain_query,What about the prices?,"Based on 3713 reviews in my training data, food is rated positively 70% of the time and negatively 17% of the time.",0.0,correct
34,domain_query,Are the waiters friendly?,"Based on 3713 reviews in my training data, service is rated positively 54% of the time and negatively 37% of the time.",0.0,correct
35,domain_query,How is the wine selection?,"Based on 3713 reviews in my training data, food is rated positively 70% of the time and negatively 17% of the time.",0.0,correct
36,help,What can you do?,"Cannot detect sarcasm, neutral F1=45%, conflict F1=21%, 2014 vocabulary.",0.0,partial
37,help,Help,"I can help you with:
  • Analysing sentiment in restaurant reviews
  • Identifying which aspects are positive or negative
  • Answering questions about food, service, price, ambience

Try typing:
  ""The pasta was cold but the waiter was friendly""
  ""What do people think about the service?""",0.0,correct
38,help,What are your capabilities?,Intent detection -> aspect extraction -> TF-IDF + Logistic Regression -> category mapping.,0.0,correct
39,help,How do you work?,Intent detection -> aspect extraction -> TF-IDF + Logistic Regression -> category mapping.,0.0,correct
40,general,What is the weather like today?,"Based on 3713 reviews in my training data, food is rated positively 70% of the time and negatively 17% of the time.",0.0,wrong
41,general,Tell me about the football game,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
42,general,How do I fix my car?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
43,general,What is the meaning of life?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
44,general,Who won the election?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
45,general,Tell me a joke,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
46,general,What time is it?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
47,general,How old are you?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
48,general,Can you recommend a movie?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
49,general,What is the capital of France?,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
50,edge,,Please type something!,0.0,correct
51,edge,Pizza,"Here is what I found:

  😊 FOOD: positive  (about: pizza)

Want to ask about a specific aspect like food quality or service?",0.002,correct
52,edge,spagetti,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct
53,edge,A,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,partial
54,edge,12345,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,partial
55,edge,!!!!,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,partial
56,edge,Not bad,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,partial
57,edge,The,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,partial
58,examiner,What model are you using for sentiment analysis?,"Logistic Regression with TF-IDF features, trained on 3,693 annotations from SemEval-2014.",0.0,correct
59,examiner,How accurate are your predictions?,"70.99% accuracy on test set, weighted F1: 0.715. Strongest on positive (84% F1).",0.0,correct
60,examiner,What training data did you use?,"SemEval-2014 restaurant corpus: 3,041 sentences, 3,693 annotated aspect terms.",0.0,correct
61,examiner,What are your limitations?,Intent detection -> aspect extraction -> TF-IDF + Logistic Regression -> category mapping.,0.0,correct
62,examiner,How do you handle sarcasm?,"Sarcasm is a known limitation. 'Oh great, another cold meal' would be misclassified as positive.",0.0,correct
63,examiner,Compare the food at two different restaurants,Cannot compare specific restaurants — no restaurant identities in training data.,0.0,partial
64,negation,Not bad at all,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,partial
65,negation,I would not say it was bad,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,partial
66,negation,The food was not great,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.002,correct
67,negation,Oh great another cold meal,"Here is what I found:

  😊 FOOD: positive  (about: meal, another cold meal)

Want to ask about a specific aspect like food quality or service?",0.002,correct
68,negation,It's not the worst but it could be better,"I specialise in restaurant review analysis. Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.003,partial
69,long_review,We went for dinner last night and had the most amazing steak cooked perfectly medium rare with a side of truffle fries that were crispy and delicious,"Here is what I found:

  😊 MISCELLANEOUS: positive  (about: side, night, crispy, dinner)
  😊 FOOD: positive  (about: most amazing steak, truffle fries, fries, steak)

Want to ask about a specific aspect like food quality or service?",0.006,correct
70,long_review,"The appetizers were cold when they arrived, the main course took forty five minutes to come out, and when we complained the manager was completely unhelpful and dismissive","I can help you with:
  • Analysing sentiment in restaurant reviews
  • Identifying which aspects are positive or negative
  • Answering questions about food, service, price, ambience

Try typing:
  ""The pasta was cold but the waiter was friendly""
  ""What do people think about the service?""",0.0,partial
71,long_review,"The cocktails were innovative and well-crafted, the sushi was fresh and beautifully presented, but the dessert menu was disappointing and the waiter seemed distracted all evening","Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,partial
72,long_review,"Arrived at seven, seated by eight, ordered by eight thirty, food arrived at nine fifteen, no apology, no discount, the pasta was lukewarm and the wine was served at room temperature on a hot summer night","Here is what I found:

  😐 MISCELLANEOUS: neutral  (about: room, night, summer, temperature, seated, room temperature, served, discount, apology, hot summer night)
  😊 FOOD: positive  (about: wine, pasta, food)

Want to ask about a specific aspect like food quality or service?",0.008,correct
