num,type,input,response_keyword,keyword_time_s,keyword_verdict,response_bart,bart_time_s,bart_verdict,responses_match
23,restaurant_mixed,"Great value and quick service, but the music was too loud to talk","Here is what I found:

  😞 SERVICE: negative  (about: quick service, service)
  😞 AMBIENCE: negative  (about: music)
  😞 PRICE: negative  (about: value, great value)

Want to ask about a specific aspect like food quality or service?",0.006,correct,"Here is what I found:

  😞 SERVICE: negative  (about: quick service, service)
  😞 AMBIENCE: negative  (about: music)
  😞 PRICE: negative  (about: value, great value)

Want to ask about a specific aspect like food quality or service?",1.369,correct,yes
24,restaurant_mixed,The staff was rude and the waiting time was too long,"Here is what I found:

  😞 SERVICE: negative  (about: staff)
  😞 MISCELLANEOUS: negative  (about: waiting time, time, waiting)

Want to ask about a specific aspect like food quality or service?",0.005,correct,"Here is what I found:

  😞 SERVICE: negative  (about: staff, waiting)
  😞 MISCELLANEOUS: negative  (about: waiting time, time)

Want to ask about a specific aspect like food quality or service?",1.193,correct,no
25,restaurant_mixed,Amazing desserts and the ambience was perfect for a date night,"Here is what I found:

  😊 MISCELLANEOUS: positive  (about: date night, night, date)
  😊 FOOD: positive  (about: desserts, amazing desserts)
  😊 AMBIENCE: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.005,correct,"Here is what I found:

  😊 AMBIENCE: positive  (about: date night, date)
  😊 FOOD: positive  (about: desserts, amazing desserts)
  😊 MISCELLANEOUS: positive  (about: ambience, night)

Want to ask about a specific aspect like food quality or service?",1.692,correct,no
26,restaurant_mixed,The risotto was overcooked and the sommelier was rude,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"Here is what I found:

  😞 FOOD: negative  (about: risotto)
  😞 SERVICE: negative  (about: sommelier)

Want to ask about a specific aspect like food quality or service?",0.617,correct,no
27,restaurant_mixed,Food was decent but the place was dirty,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: place)
  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: place)
  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.634,correct,yes
28,restaurant_mixed,Excellent taste but small portions,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: small portions, portions)
  😊 FOOD: positive  (about: excellent taste, taste)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 MISCELLANEOUS: negative  (about: small portions, portions)
  😊 FOOD: positive  (about: excellent taste, taste)

Want to ask about a specific aspect like food quality or service?",1.189,correct,yes
29,restaurant_query,Is the food here good?,"Here is what I found:

  😊 FOOD: positive  (about: food)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😊 FOOD: positive  (about: food)

Want to ask about a specific aspect like food quality or service?",0.362,correct,yes
30,restaurant_query,What do people say about the service?,"Here is what I found:

  😞 SERVICE: negative  (about: service)
  😞 MISCELLANEOUS: negative  (about: people)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 SERVICE: negative  (about: service)
  😞 AMBIENCE: negative  (about: people)

Want to ask about a specific aspect like food quality or service?",0.648,correct,no
31,restaurant_query,How is the ambience?,"Here is what I found:

  😊 AMBIENCE: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😊 MISCELLANEOUS: positive  (about: ambience)

Want to ask about a specific aspect like food quality or service?",0.423,correct,no
32,restaurant_query,Tell me about the desserts,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.111,wrong,yes
33,restaurant_query,What about the prices?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.109,wrong,yes
34,restaurant_query,Are the waiters friendly?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.111,wrong,yes
35,restaurant_query,How is the wine selection?,"Here is what I found:

  😊 FOOD: positive  (about: wine, wine selection)
  😊 MISCELLANEOUS: positive  (about: selection)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😊 FOOD: positive  (about: wine)
  😊 AMBIENCE: positive  (about: selection, wine selection)

Want to ask about a specific aspect like food quality or service?",0.935,correct,no
36,help,What can you do?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,,,,
37,help,Help,"I can help you with:
  • Analysing sentiment in restaurant reviews
  • Identifying which aspects are positive or negative
  • Answering questions about food, service, price, ambience

Try typing:
  ""The pasta was cold but the waiter was friendly""
  ""What do people think about the service?""",0.0,correct,,,,
38,help,What are your capabilities?,"I can help you with:
  • Analysing sentiment in restaurant reviews
  • Identifying which aspects are positive or negative
  • Answering questions about food, service, price, ambience

Try typing:
  ""The pasta was cold but the waiter was friendly""
  ""What do people think about the service?""",0.0,correct,,,,
39,help,How do you work?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,,,,
40,general,What is the weather like today?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
41,general,Tell me about the football game,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
42,general,How do I fix my car?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
43,general,What is the meaning of life?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
44,general,Who won the election?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
45,general,Tell me a joke,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
46,general,What time is it?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
47,general,How old are you?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
48,general,Can you recommend a movie?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
49,general,What is the capital of France?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,correct,,,,
50,edge,,Please type something!,0.0,correct,,,,
51,edge,Pizza,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,partial,,,,
52,edge,spagetti,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,partial,,,,
53,edge,A,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
54,edge,12345,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
55,edge,!!!!,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
56,edge,Not bad,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
57,edge,The,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,correct,,,,
58,examiner,What model are you using for sentiment analysis?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.114,wrong,yes
59,examiner,How accurate are your predictions?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.11,wrong,yes
60,examiner,What training data did you use?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.113,wrong,yes
61,examiner,What are your limitations?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.11,wrong,yes
62,examiner,How do you handle sarcasm?,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.11,wrong,yes
63,examiner,Compare the food at two different restaurants,"Here is what I found:

  😐 MISCELLANEOUS: neutral  (about: two different restaurants, restaurants)
  😐 FOOD: neutral  (about: food)

Want to ask about a specific aspect like food quality or service?",0.004,partial,"Here is what I found:

  😐 FOOD: neutral  (about: food, two different restaurants, restaurants)

Want to ask about a specific aspect like food quality or service?",0.908,partial,no
64,negation,Not bad at all,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.001,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,yes
65,negation,I would not say it was bad,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,yes
66,negation,The food was not great,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😞 FOOD: negative  (about: food)

Want to ask about a specific aspect like food quality or service?",0.381,correct,yes
67,negation,Oh great another cold meal,"Here is what I found:

  😊 FOOD: positive  (about: another cold meal, meal)

Want to ask about a specific aspect like food quality or service?",0.004,correct,"Here is what I found:

  😊 FOOD: positive  (about: another cold meal, meal)

Want to ask about a specific aspect like food quality or service?",0.646,correct,yes
68,negation,It's not the worst but it could be better,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.002,wrong,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.003,wrong,yes
69,long_review,We went for dinner last night and had the most amazing steak cooked perfectly medium rare with a side of truffle fries that were crispy and delicious,"I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.004,wrong,"Here is what I found:

  😊 FOOD: positive  (about: fries, dinner, truffle fries, most amazing steak, crispy, steak)
  😊 MISCELLANEOUS: positive  (about: side, night)

Want to ask about a specific aspect like food quality or service?",2.27,correct,no
70,long_review,"The appetizers were cold when they arrived, the main course took forty five minutes to come out, and when we complained the manager was completely unhelpful and dismissive","I am not sure I understood that.
Try typing a restaurant review like:
  ""The pasta was cold but the waiter was friendly""",0.004,wrong,"Here is what I found:

  😞 SERVICE: negative  (about: course, manager)
  😐 AMBIENCE: neutral  (about: forty five minutes)
  😐 FOOD: neutral  (about: main course, appetizers)
  😐 MISCELLANEOUS: neutral  (about: minutes)

Want to ask about a specific aspect like food quality or service?",1.744,correct,no
71,long_review,"The cocktails were innovative and well-crafted, the sushi was fresh and beautifully presented, but the dessert menu was disappointing and the waiter seemed distracted all evening","Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,partial,"Hello! 👋 I am your restaurant review expert chatbot.
I can analyse reviews and tell you how people feel about
the food, service, price, or ambience.
Just type a review or ask a question!",0.0,partial,yes
72,long_review,"Arrived at seven, seated by eight, ordered by eight thirty, food arrived at nine fifteen, no apology, no discount, the pasta was lukewarm and the wine was served at room temperature on a hot summer night","Here is what I found:

  😐 MISCELLANEOUS: neutral  (about: seated, discount, room, hot summer night, room temperature, summer, apology, night, served, temperature)
  😊 FOOD: positive  (about: wine, food, pasta)

Want to ask about a specific aspect like food quality or service?",0.013,correct,"Here is what I found:

  😊 SERVICE: positive  (about: seated, served, apology)
  😐 PRICE: neutral  (about: discount)
  😐 AMBIENCE: neutral  (about: room, room temperature, summer, hot summer night)
  😊 FOOD: positive  (about: wine, food, pasta)
  😐 MISCELLANEOUS: neutral  (about: night, temperature)

Want to ask about a specific aspect like food quality or service?",3.533,correct,no
