split,sentence_id,aspect_id,text,term,term_normalized,polarity
train,391,391::term::1,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,sushi bar,neutral
train,2384,2384::term::0,The fried rice is amazing here.,fried rice,fried rice,positive
train,2962,2962::term::0,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,mussels,positive
train,2962,2962::term::1,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,puff pastry goat cheese,positive
train,2962,2962::term::2,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,salad with a delicious dressing,positive
train,2962,2962::term::3,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,hanger steak au poivre,positive
train,2962,2962::term::4,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,courses,neutral
train,3404,3404::term::0,it's a perfect place to have a amanzing indian food.,indian food,indian food,positive
train,2599,2599::term::0,The place is so cool and the service is prompt and curtious.,service,service,positive
train,2599,2599::term::1,The place is so cool and the service is prompt and curtious.,place,place,positive
train,673,673::term::0,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,broth with noodles,positive
train,648,648::term::0,I just wonder how you can have such a delicious meal for such little money.,meal,meal,positive
train,648,648::term::1,I just wonder how you can have such a delicious meal for such little money.,money,money,positive
train,863,863::term::0,The food was delicious but do not come here on a empty stomach.,food,food,conflict
train,1623,1623::term::0,The wine list is excellent.,wine list,wine list,positive
train,430,430::term::0,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,thai food,positive
train,1101,1101::term::0,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,glass of wine,neutral
train,324,324::term::0,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,specials,neutral
train,2783,2783::term::0,This is a consistently great place to dine for lunch or dinner.,lunch,lunch,neutral
train,2783,2783::term::1,This is a consistently great place to dine for lunch or dinner.,dinner,dinner,neutral
train,2783,2783::term::2,This is a consistently great place to dine for lunch or dinner.,dine,dine,positive
train,2983,2983::term::0,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,atmosphere,positive
train,2983,2983::term::1,"Nice atmosphere, the service was very pleasant and the desert was good.",service,service,positive
train,2983,2983::term::2,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,desert,positive
train,627,627::term::0,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,bar,positive
train,627,627::term::1,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,table,neutral
train,627,627::term::2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,dinner,neutral
train,3219,3219::term::0,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,service,positive
train,3219,3219::term::1,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,food,positive
train,3219,3219::term::2,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,atmosphere,positive
train,3219,3219::term::3,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,environment,positive
train,2787,2787::term::0,Try the lasagnette appetizer.,lasagnette appetizer,lasagnette appetizer,positive
train,604,604::term::0,I liked the beer selection!,beer selection,beer selection,positive
train,2911,2911::term::0,"Great food, good size menu, great service and an unpretensious setting.",food,food,positive
train,2911,2911::term::1,"Great food, good size menu, great service and an unpretensious setting.",menu,menu,positive
train,2911,2911::term::2,"Great food, good size menu, great service and an unpretensious setting.",service,service,positive
train,2911,2911::term::3,"Great food, good size menu, great service and an unpretensious setting.",setting,setting,positive
train,3074,3074::term::0,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,dinner,positive
train,3074,3074::term::1,Go here for a romantic dinner but not for an all out wow dining experience.,dining,dining,positive
train,1074,1074::term::0,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,dosa,neutral
train,912,912::term::0,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,wine list selection,positive
train,912,912::term::1,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,wine-by-the-glass,positive
train,728,728::term::0,"With the great variety on the menu , I eat here often and never get bored .",menu,menu,positive
train,2925,2925::term::0,The menu is very limited - i think we counted 4 or 5 entrees.,menu,menu,negative
train,2925,2925::term::1,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,entrees,negative
train,3436,3436::term::0,The menu is limited but almost all of the dishes are excellent.,menu,menu,negative
train,3436,3436::term::1,The menu is limited but almost all of the dishes are excellent.,dishes,dishes,positive
train,3273,3273::term::0,Not too crazy about their sake martini.,sake martini,sake martini,negative
train,1215,1215::term::0,"Great bagels, spreads and a good place to hang out in.",bagels,bagels,positive
train,1215,1215::term::1,"Great bagels, spreads and a good place to hang out in.",spreads,spreads,positive
train,183,183::term::0,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,service,conflict
train,282,282::term::0,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,table,neutral
train,3249,3249::term::0,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,food,positive
train,3207,3207::term::0,We always have a delicious meal and always leave feeling satisfied.,meal,meal,positive
train,672,672::term::0,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,ingredients,neutral
train,672,672::term::1,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,chopsticks,neutral
train,2972,2972::term::0,First went here to enjoy their garden terrace.,garden terrace,garden terrace,positive
train,1755,1755::term::0,The pizza was pretty good and huge.,pizza,pizza,positive
train,2277,2277::term::0,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,cuisine,neutral
train,3680,3680::term::0,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,atmosphere,positive
train,3155,3155::term::0,They are often crowded on the weekends but they are efficient and accurate with their service.,service,service,positive
train,3155,3155::term::1,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,crowded,negative
train,1688,1688::term::0,All my co-workers were amazed at how small the dish was.,dish,dish,negative
train,598,598::term::0,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,atmosphere,positive
train,598,598::term::1,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,service,positive
train,598,598::term::2,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,food,positive
train,2926,2926::term::0,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,grilled branzino,negative
train,3083,3083::term::0,"The wait staff is friendly, and the food has gotten better and better!",wait staff,wait staff,positive
train,3083,3083::term::1,"The wait staff is friendly, and the food has gotten better and better!",food,food,positive
train,2977,2977::term::0,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,vibe,positive
train,2977,2977::term::1,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,french food,positive
train,2977,2977::term::2,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,packed,negative
train,2604,2604::term::0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,pizza,positive
train,2604,2604::term::1,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,place,positive
train,2960,2960::term::0,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,pre-theater menu,positive
train,1383,1383::term::0,I also ordered for delivery and the restaurant forgot half the order.,delivery,delivery,negative
train,1383,1383::term::1,I also ordered for delivery and the restaurant forgot half the order.,order,order,negative
train,892,892::term::0,Our server checked on us maybe twice during the entire meal.,server,server,negative
train,892,892::term::1,Our server checked on us maybe twice during the entire meal.,meal,meal,neutral
train,2936,2936::term::0,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,scents,negative
train,3423,3423::term::0,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,lobster sandwich,positive
train,1197,1197::term::0,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,check,negative
train,2274,2274::term::0,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,spider roll,conflict
train,2274,2274::term::1,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,price,positive
train,2274,2274::term::2,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,shell crab,positive
train,2804,2804::term::0,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,deep fried skewers,positive
train,194,194::term::0,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,reservations,neutral
train,194,194::term::1,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,hostess,negative
train,148,148::term::0,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,rice dishes,positive
train,148,148::term::1,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),congee rice porridge ,positive
train,2747,2747::term::0,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,tuna tartar appetizer,positive
train,856,856::term::0,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,food,conflict
train,856,856::term::1,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,chef,positive
train,856,856::term::2,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,fish dishes,positive
train,856,856::term::3,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,soups,positive
train,856,856::term::4,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,kitchen,positive
train,856,856::term::5,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,cuisine,positive
train,2033,2033::term::0,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,wine,positive
train,2033,2033::term::1,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,french fare,positive
train,2033,2033::term::2,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,cheese,positive
train,1402,1402::term::0,I love Indian food and consider myself to be quite an expert on it.,Indian food,indian food,positive
train,439,439::term::0,Some baby pizzas get their wish.,baby pizzas,baby pizzas,neutral
train,2053,2053::term::0,Overall A oh ya even though there is waiting it is deff worth it,waiting,waiting,negative
train,3316,3316::term::0,The lava cake dessert was incredible and I recommend it.,lava cake dessert,lava cake dessert,positive
train,433,433::term::0,VT is what baby pizzas hope to be when they grow up.,baby pizzas,baby pizzas,neutral
train,738,738::term::0,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,service,negative
train,738,738::term::1,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,food,negative
train,738,738::term::2,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,managers,negative
train,1549,1549::term::0,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,food,positive
train,1549,1549::term::1,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,food,positive
train,1798,1798::term::0,The last time I went we were seated at a table in a corridor next to the kitchen.,table,table,negative
train,2941,2941::term::0,good selection of wines ranging from affordable to high end.,selection of wines,selection of wines,positive
train,362,362::term::0,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,italian decor,positive
train,2921,2921::term::0,Not impressed with the food.,food,food,negative
train,1909,1909::term::0,The entire dining experience was wonderful!,dining experience,dining experience,positive
train,1878,1878::term::0,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,wine selection,positive
train,1878,1878::term::1,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,reservation,neutral
train,858,858::term::0,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,service,positive
train,858,858::term::1,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,maitre,positive
train,858,858::term::2,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,reservation,negative
train,3376,3376::term::0,"Order the panang duck, it's fantastic.",panang duck,panang duck,positive
train,173,173::term::0,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,food,conflict
train,173,173::term::1,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,raw vegatables,negative
train,1836,1836::term::0,"Other than the crappy service from two individuals, it's great.",service,service,negative
train,1404,1404::term::0,They have authentic Indian at amazin prices.,Indian,indian,positive
train,1404,1404::term::1,They have authentic Indian at amazin prices.,prices,prices,positive
train,1819,1819::term::0,Ambiance- relaxed and stylish.,Ambiance,ambiance,positive
train,2639,2639::term::0,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,bbq salmon,positive
train,2639,2639::term::1,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,sea bass,positive
train,2639,2639::term::2,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,crispy duck,positive
train,1474,1474::term::0,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,ingredients,positive
train,1474,1474::term::1,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,ingredients,positive
train,1474,1474::term::2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,pizza,negative
train,1474,1474::term::3,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,crust,neutral
train,2059,2059::term::0,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,kababs,positive
train,2059,2059::term::1,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,dal bukhara,positive
train,926,926::term::0,I look forward to eating here again,eating,eating,positive
train,2385,2385::term::0,I've been coming here as a child and always come back for the taste.,taste,taste,positive
train,2498,2498::term::0,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,meal,positive
train,2498,2498::term::1,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,price,positive
train,2469,2469::term::0,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,glass of prosecco,positive
train,2469,2469::term::1,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,mussels,positive
train,2469,2469::term::2,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,glass of leaping lizard,positive
train,567,567::term::0,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,food,neutral
train,567,567::term::1,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,creme brulee,negative
train,567,567::term::2,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,sugar,negative
train,3517,3517::term::0,The food always tastes fresh and served promptly.,food,food,positive
train,3517,3517::term::1,The food always tastes fresh and served promptly.,served,served,positive
train,1599,1599::term::0,The pizza here is delicious.,pizza,pizza,positive
train,2548,2548::term::0,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,pizza,positive
train,2548,2548::term::1,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,delivery,positive
train,2548,2548::term::2,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,garlic knots,positive
train,759,759::term::0,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,chinese food,positive
train,3175,3175::term::0,But who says Murray's is anything about service.,service,service,neutral
train,2209,2209::term::0,"This place is really trendi but they have forgotten about the most important part of a restaurant, the food.",food,food,negative
train,1352,1352::term::0,Hats off to the chef.,chef,chef,positive
train,3537,3537::term::0,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,service,negative
train,3537,3537::term::1,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,teapot,positive
train,1743,1743::term::0,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,pizza,positive
train,1743,1743::term::1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,fresh mozzarella,positive
train,1743,1743::term::2,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,cheese,negative
train,1321,1321::term::0,Its an excellent place to relax and the food is one of the best in the city of New York.,place,place,positive
train,1321,1321::term::1,Its an excellent place to relax and the food is one of the best in the city of New York.,food,food,positive
train,2907,2907::term::0,"service is friendly, and never had a problem walking in and getting a table.",service,service,positive
train,2907,2907::term::1,"service is friendly, and never had a problem walking in and getting a table.",getting a table,getting a table,positive
train,1890,1890::term::0,The atmosphere was crowded but it was a great bistro-type vibe.,atmosphere,atmosphere,conflict
train,1890,1890::term::1,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,bistro-type vibe,positive
train,2588,2588::term::0,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,waitress,negative
train,2588,2588::term::1,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,tables,neutral
train,3130,3130::term::0,The food was bland oily.,food,food,negative
train,709,709::term::0,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,prices,positive
train,709,709::term::1,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,food,positive
train,1198,1198::term::0,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,fish,positive
train,1198,1198::term::1,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,variety of fish,negative
train,2302,2302::term::0,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,pesto pizza,positive
train,2302,2302::term::1,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,house salad,positive
train,2302,2302::term::2,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,bottle of wine,positive
train,2302,2302::term::3,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,meal,positive
train,1110,1110::term::0,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,bartender,positive
train,1110,1110::term::1,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,beverage manager,positive
train,973,973::term::0,"Ambiance and music funky, which I enjoy.",Ambiance,ambiance,positive
train,973,973::term::1,"Ambiance and music funky, which I enjoy.",music,music,positive
train,2132,2132::term::0,"The food, drinks and service are clearly among the best in the city.",food,food,positive
train,2132,2132::term::1,"The food, drinks and service are clearly among the best in the city.",drinks,drinks,positive
train,2132,2132::term::2,"The food, drinks and service are clearly among the best in the city.",service,service,positive
train,231,231::term::0,I went there in late afternoon for some bite size food and refleshment with my date.,food,food,neutral
train,231,231::term::1,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,refleshment,neutral
train,250,250::term::0,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,ambiance,positive
train,250,250::term::1,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,service,positive
train,250,250::term::2,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,foods,positive
train,250,250::term::3,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,tastes,positive
train,250,250::term::4,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,sommlier,positive
train,250,250::term::5,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,captain,positive
train,250,250::term::6,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,back waiters,positive
train,2988,2988::term::0,"Last time I went here, the waitress didn't come back after taking our order.",waitress,waitress,negative
