split,sentence_id,category_id,text,category,polarity
train,3083,3083::cat::1,"The wait staff is friendly, and the food has gotten better and better!",service,positive
train,1388,1388::cat::0,"This place, which is only a few months old, is perhaps Queens' biggest secret!",anecdotes/miscellaneous,positive
train,2977,2977::cat::0,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food,positive
train,2977,2977::cat::1,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",ambience,conflict
train,1574,1574::cat::0,This place is so much fun.,anecdotes/miscellaneous,positive
train,498,498::cat::0,I was glad I did.,anecdotes/miscellaneous,positive
train,2604,2604::cat::0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,food,positive
train,2604,2604::cat::1,Right off the L in Brooklyn this is a nice cozy place with good pizza.,ambience,positive
train,473,473::cat::0,I've never been treated so rudely.,service,negative
train,380,380::cat::0,I'll be back soon.,anecdotes/miscellaneous,positive
train,2960,2960::cat::0,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive
train,322,322::cat::0,Went inside and I started to get excited.,anecdotes/miscellaneous,positive
train,1383,1383::cat::0,I also ordered for delivery and the restaurant forgot half the order.,service,negative
train,892,892::cat::0,Our server checked on us maybe twice during the entire meal.,service,negative
train,2296,2296::cat::0,"However, it is jus too good to not praise it.",anecdotes/miscellaneous,positive
train,868,868::cat::0,We have been to Montparnasse many times and return often for good reason.,anecdotes/miscellaneous,positive
train,2936,2936::cat::0,The strong scents coming from the left and right of me negatively affected my taste buds.,anecdotes/miscellaneous,negative
train,3423,3423::cat::0,We had the lobster sandwich and it was FANTASTIC.,food,positive
train,154,154::cat::0,It's somewhere you can eat and be happy.,anecdotes/miscellaneous,positive
train,591,591::cat::0,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",anecdotes/miscellaneous,positive
train,1197,1197::cat::0,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",service,negative
train,2061,2061::cat::0,but overall i give it a 10,anecdotes/miscellaneous,positive
train,2274,2274::cat::0,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,positive
train,2274,2274::cat::1,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
train,2804,2804::cat::0,Deep Fried Skewers are good and still rare to find in NYC.,food,positive
train,194,194::cat::0,"I have tried to make reservations, but both times, the hostess didn't have my name.",service,negative
train,148,148::cat::0,I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive
train,2747,2747::cat::0,Their tuna tartar appetizer is to die for.,food,positive
train,2845,2845::cat::0,This was one of the BEST restaurants I've ever been to.,anecdotes/miscellaneous,positive
train,187,187::cat::0,This restaurant used to be pretty decent.,anecdotes/miscellaneous,negative
train,856,856::cat::0,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
train,2033,2033::cat::0,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",food,positive
train,1402,1402::cat::0,I love Indian food and consider myself to be quite an expert on it.,food,positive
train,439,439::cat::0,Some baby pizzas get their wish.,food,neutral
train,3360,3360::cat::0,Plenty of choices to make your own creation.,food,positive
train,2949,2949::cat::0,It was tiny and I felt like I was eating in someone's living room.,ambience,negative
train,570,570::cat::0,I was there on sat.,anecdotes/miscellaneous,neutral
train,2053,2053::cat::0,Overall A oh ya even though there is waiting it is deff worth it,anecdotes/miscellaneous,positive
train,2053,2053::cat::1,Overall A oh ya even though there is waiting it is deff worth it,service,negative
train,3316,3316::cat::0,The lava cake dessert was incredible and I recommend it.,food,positive
train,433,433::cat::0,VT is what baby pizzas hope to be when they grow up.,anecdotes/miscellaneous,positive
train,738,738::cat::0,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
train,738,738::cat::1,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
train,1549,1549::cat::0,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
train,1549,1549::cat::1,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,price,positive
train,1798,1798::cat::0,The last time I went we were seated at a table in a corridor next to the kitchen.,anecdotes/miscellaneous,negative
train,2941,2941::cat::0,good selection of wines ranging from affordable to high end.,food,positive
train,2941,2941::cat::1,good selection of wines ranging from affordable to high end.,price,conflict
train,362,362::cat::0,"Nice restaurant overall, with classic upscale Italian decor.",ambience,positive
train,2921,2921::cat::0,Not impressed with the food.,food,negative
train,1909,1909::cat::0,The entire dining experience was wonderful!,anecdotes/miscellaneous,positive
train,1878,1878::cat::0,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,positive
train,1878,1878::cat::1,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,anecdotes/miscellaneous,positive
train,858,858::cat::0,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
train,3376,3376::cat::0,"Order the panang duck, it's fantastic.",food,positive
train,173,173::cat::0,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food,conflict
train,1836,1836::cat::0,"Other than the crappy service from two individuals, it's great.",service,conflict
train,1703,1703::cat::0,What more can you ask for?,anecdotes/miscellaneous,positive
train,3564,3564::cat::0,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,anecdotes/miscellaneous,neutral
train,1404,1404::cat::0,They have authentic Indian at amazin prices.,food,positive
train,1404,1404::cat::1,They have authentic Indian at amazin prices.,price,positive
train,645,645::cat::0,You are treated just like royality.,service,positive
train,3288,3288::cat::0,"There's nice and quiet, small but enough for 6 (or more).",ambience,conflict
train,1819,1819::cat::0,Ambiance- relaxed and stylish.,ambience,positive
train,1144,1144::cat::0,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,anecdotes/miscellaneous,negative
train,2639,2639::cat::0,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",food,positive
train,1474,1474::cat::0,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,negative
train,1553,1553::cat::0,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",ambience,negative
train,2059,2059::cat::0,and yes Dal Bukhara is so dam good and so are all the kababs.,food,positive
train,926,926::cat::0,I look forward to eating here again,anecdotes/miscellaneous,positive
train,2385,2385::cat::0,I've been coming here as a child and always come back for the taste.,food,positive
train,2498,2498::cat::0,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,food,positive
train,2498,2498::cat::1,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,positive
train,2498,2498::cat::2,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
train,2469,2469::cat::0,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",food,positive
train,567,567::cat::0,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative
train,3517,3517::cat::0,The food always tastes fresh and served promptly.,food,positive
train,3517,3517::cat::1,The food always tastes fresh and served promptly.,service,positive
train,2069,2069::cat::0,I know because I live nearby.,anecdotes/miscellaneous,neutral
train,1599,1599::cat::0,The pizza here is delicious.,food,positive
train,2860,2860::cat::0,My entire family was horrified.,anecdotes/miscellaneous,negative
train,1092,1092::cat::0,On a monthly basis my friends and I get together and have a girls night out.,anecdotes/miscellaneous,neutral
train,2548,2548::cat::0,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",food,positive
train,2548,2548::cat::1,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",service,positive
train,759,759::cat::0,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",food,positive
train,3175,3175::cat::0,But who says Murray's is anything about service.,service,neutral
train,2209,2209::cat::0,"This place is really trendi but they have forgotten about the most important part of a restaurant, the food.",food,negative
train,2209,2209::cat::1,"This place is really trendi but they have forgotten about the most important part of a restaurant, the food.",anecdotes/miscellaneous,positive
train,2717,2717::cat::0,I have NEVER been disappointed in the Red Eye.,anecdotes/miscellaneous,positive
train,1352,1352::cat::0,Hats off to the chef.,food,positive
train,1543,1543::cat::0,This should have been done in a back room - away from customers.,anecdotes/miscellaneous,negative
train,3537,3537::cat::0,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",anecdotes/miscellaneous,positive
train,3537,3537::cat::1,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
train,3213,3213::cat::0,Glad you have the luxury to throw out paying customers.,anecdotes/miscellaneous,neutral
train,1743,1743::cat::0,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food,positive
train,1321,1321::cat::0,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive
train,1321,1321::cat::1,Its an excellent place to relax and the food is one of the best in the city of New York.,ambience,positive
train,2907,2907::cat::0,"service is friendly, and never had a problem walking in and getting a table.",service,positive
train,1890,1890::cat::0,The atmosphere was crowded but it was a great bistro-type vibe.,ambience,conflict
train,2675,2675::cat::0,Check it out,anecdotes/miscellaneous,positive
train,2588,2588::cat::0,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",service,negative
train,2234,2234::cat::0,Don't go.,anecdotes/miscellaneous,negative
train,3130,3130::cat::0,The food was bland oily.,food,negative
train,3285,3285::cat::0,But they do.,anecdotes/miscellaneous,neutral
train,709,709::cat::0,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
train,709,709::cat::1,"What is even better, is that the prices are very affordable as well, and the food is really good.",price,positive
train,1198,1198::cat::0,The fish is fresh but the variety of fish is nothing out of ordinary.,food,conflict
train,2380,2380::cat::0,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,anecdotes/miscellaneous,neutral
train,2250,2250::cat::0,Suan has challenged this loyalty.,anecdotes/miscellaneous,neutral
train,2302,2302::cat::0,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",food,positive
train,1110,1110::cat::0,"And Kruno, the beverage manager is the best bartender I have yet to come across.",service,positive
train,973,973::cat::0,"Ambiance and music funky, which I enjoy.",ambience,positive
train,2132,2132::cat::0,"The food, drinks and service are clearly among the best in the city.",food,positive
train,2132,2132::cat::1,"The food, drinks and service are clearly among the best in the city.",service,positive
train,231,231::cat::0,I went there in late afternoon for some bite size food and refleshment with my date.,anecdotes/miscellaneous,neutral
train,1184,1184::cat::0,"It's a really great deal, considering we got full off of four dollars.",price,positive
train,250,250::cat::0,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",food,positive
train,250,250::cat::1,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambience,positive
train,250,250::cat::2,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
train,227,227::cat::0,Went with mommy (the only person who could afford taking me here).,anecdotes/miscellaneous,neutral
train,3653,3653::cat::0,My friends and I were on vacation in NY and was referred to Chance by a friend.,anecdotes/miscellaneous,neutral
train,2988,2988::cat::0,"Last time I went here, the waitress didn't come back after taking our order.",service,negative
train,3092,3092::cat::0,Try the tandoori salmon!,food,positive
train,1166,1166::cat::0,"I am completely hooked on this place, it is ridiculous.",anecdotes/miscellaneous,positive
train,3686,3686::cat::0,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",anecdotes/miscellaneous,negative
train,3686,3686::cat::1,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive
train,1922,1922::cat::0,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
train,1922,1922::cat::1,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",ambience,negative
train,2978,2978::cat::0,"Have recommended the place to friends, always gets good response.",anecdotes/miscellaneous,positive
train,2139,2139::cat::0,We will return many times for this oasis in mid-town.,anecdotes/miscellaneous,positive
train,2454,2454::cat::0,I love the atmorphere @ peep!,ambience,positive
train,1881,1881::cat::0,Enjoy!,anecdotes/miscellaneous,positive
train,633,633::cat::0,We weren't!,anecdotes/miscellaneous,neutral
train,268,268::cat::0,This is one of my favorite restaurants and it is not to be missed.,anecdotes/miscellaneous,positive
train,3613,3613::cat::0,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,anecdotes/miscellaneous,neutral
train,1531,1531::cat::0,It could have been handled better.,anecdotes/miscellaneous,negative
train,603,603::cat::0,The service was attentive and her suggestions of menu items was right on the mark.,service,positive
train,678,678::cat::0,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,food,positive
train,2690,2690::cat::0,Please be aware that it's CASH or AMEX only!,anecdotes/miscellaneous,neutral
train,1830,1830::cat::0,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",food,positive
train,1408,1408::cat::0,It's a rather cramped and busy restaurant and it closes early.,ambience,negative
train,2521,2521::cat::0,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
train,2521,2521::cat::1,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative
train,2521,2521::cat::2,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",ambience,positive
train,1918,1918::cat::0,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",food,positive
train,2930,2930::cat::0,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,anecdotes/miscellaneous,neutral
train,2166,2166::cat::0,They were served warm and had a soft fluffy interior.,food,positive
train,887,887::cat::0,What came to our table was burned beyond recognition and stringy.,food,negative
train,2448,2448::cat::0,I had the Pad Thai and the noodles were sticky.,food,negative
train,3244,3244::cat::0,"So I've never actually been to M proper, but I've had it delivered a few times.",anecdotes/miscellaneous,neutral
train,1478,1478::cat::0,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",price,positive
train,1413,1413::cat::0,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",food,positive
train,3129,3129::cat::0,The hostess is rude to the point of being offensive.,service,negative
train,2271,2271::cat::0,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive
train,2271,2271::cat::1,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",service,negative
train,1554,1554::cat::0,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",ambience,negative
train,2306,2306::cat::0,The food is great.,food,positive
train,1975,1975::cat::0,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,food,positive
train,3699,3699::cat::0,"Lunch came with pickels and slaw, no extra charge.",price,positive
