split,sentence_id,aspect_id,text,term,term_normalized,polarity,char_from,char_to
train,296,296::term::1,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,mayonnaise,negative,18,28
train,296,296::term::2,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,bacon,negative,126,131
train,296,296::term::3,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,cheese,neutral,73,79
train,296,296::term::4,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,ingredients,negative,57,68
train,296,296::term::5,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,plate,neutral,170,175
train,296,296::term::6,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,omelet,neutral,86,92
train,1793,1793::term::0,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,drinks,neutral,82,88
train,1793,1793::term::1,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,check,neutral,32,37
train,2200,2200::term::0,The design and atmosphere is just as good.,design,design,positive,4,10
train,2200,2200::term::1,The design and atmosphere is just as good.,atmosphere,atmosphere,positive,15,25
train,3195,3195::term::0,He has visited Thailand and is quite expert on the cuisine.,cuisine,cuisine,positive,51,58
train,3359,3359::term::0,The pizza is the best if you like thin crusted pizza.,pizza,pizza,positive,4,9
train,3359,3359::term::1,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,thin crusted pizza,neutral,34,52
train,3534,3534::term::0,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,interior decoration,positive,28,47
train,3534,3534::term::1,"All the money went into the interior decoration, none of it went to the chefs.",chefs,chefs,negative,72,77
train,1407,1407::term::0,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,seats,negative,4,9
train,565,565::term::0,"I asked for seltzer with lime, no ice.",seltzer with lime,seltzer with lime,neutral,12,29
train,675,675::term::0,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,pickles,positive,77,84
train,675,675::term::1,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,selection of meats and seafoods,positive,91,122
train,2227,2227::term::0,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,dishes,neutral,74,80
train,2227,2227::term::1,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,eat family style,positive,20,36
train,3367,3367::term::0,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,vibe,positive,24,28
train,3367,3367::term::1,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,owner,positive,34,39
train,3367,3367::term::2,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,service,positive,62,69
train,2191,2191::term::0,Faan's got a great concept but a little rough on the delivery.,delivery,delivery,negative,53,61
train,270,270::term::0,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,food,positive,20,24
train,270,270::term::1,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,atmosphere,positive,38,48
train,270,270::term::2,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,service,positive,66,73
train,638,638::term::0,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,food,positive,6,10
train,638,638::term::1,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,prices,positive,25,31
train,388,388::term::0,this little place has a cute interior decor and affordable city prices.,interior decor,interior decor,positive,29,43
train,388,388::term::1,this little place has a cute interior decor and affordable city prices.,prices,prices,positive,64,70
train,3373,3373::term::0,Two words: Free wine.,wine,wine,positive,16,20
train,425,425::term::0,The price is reasonable although the service is poor.,price,price,positive,4,9
train,425,425::term::1,The price is reasonable although the service is poor.,service,service,negative,37,44
train,3192,3192::term::0,"The quantity is also very good, you will come out satisfied.",quantity,quantity,positive,4,12
train,391,391::term::0,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,sushi,neutral,118,123
train,391,391::term::1,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,sushi bar,neutral,146,155
train,2384,2384::term::0,The fried rice is amazing here.,fried rice,fried rice,positive,4,14
train,2962,2962::term::0,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,mussels,positive,42,49
train,2962,2962::term::1,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,puff pastry goat cheese,positive,51,74
train,2962,2962::term::2,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,salad with a delicious dressing,positive,79,110
train,2962,2962::term::3,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,hanger steak au poivre,positive,118,140
train,2962,2962::term::4,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,courses,neutral,6,13
train,3404,3404::term::0,it's a perfect place to have a amanzing indian food.,indian food,indian food,positive,40,51
train,2599,2599::term::0,The place is so cool and the service is prompt and curtious.,service,service,positive,29,36
train,2599,2599::term::1,The place is so cool and the service is prompt and curtious.,place,place,positive,4,9
train,673,673::term::0,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,broth with noodles,positive,35,53
train,648,648::term::0,I just wonder how you can have such a delicious meal for such little money.,meal,meal,positive,48,52
train,648,648::term::1,I just wonder how you can have such a delicious meal for such little money.,money,money,positive,69,74
train,863,863::term::0,The food was delicious but do not come here on a empty stomach.,food,food,conflict,4,8
train,1623,1623::term::0,The wine list is excellent.,wine list,wine list,positive,4,13
train,430,430::term::0,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,thai food,positive,84,93
train,1101,1101::term::0,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,glass of wine,neutral,35,48
train,324,324::term::0,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,specials,neutral,75,83
train,2783,2783::term::0,This is a consistently great place to dine for lunch or dinner.,lunch,lunch,neutral,47,52
train,2783,2783::term::1,This is a consistently great place to dine for lunch or dinner.,dinner,dinner,neutral,56,62
train,2783,2783::term::2,This is a consistently great place to dine for lunch or dinner.,dine,dine,positive,38,42
train,2983,2983::term::0,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,atmosphere,positive,5,15
train,2983,2983::term::1,"Nice atmosphere, the service was very pleasant and the desert was good.",service,service,positive,21,28
train,2983,2983::term::2,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,desert,positive,55,61
train,627,627::term::0,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,bar,positive,39,42
train,627,627::term::1,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,table,neutral,60,65
train,627,627::term::2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,dinner,neutral,74,80
train,3219,3219::term::0,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,service,positive,9,16
train,3219,3219::term::1,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,food,positive,28,32
train,3219,3219::term::2,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,atmosphere,positive,52,62
train,3219,3219::term::3,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,environment,positive,67,78
train,2787,2787::term::0,Try the lasagnette appetizer.,lasagnette appetizer,lasagnette appetizer,positive,8,28
train,604,604::term::0,I liked the beer selection!,beer selection,beer selection,positive,12,26
train,2911,2911::term::0,"Great food, good size menu, great service and an unpretensious setting.",food,food,positive,6,10
train,2911,2911::term::1,"Great food, good size menu, great service and an unpretensious setting.",menu,menu,positive,22,26
train,2911,2911::term::2,"Great food, good size menu, great service and an unpretensious setting.",service,service,positive,34,41
train,2911,2911::term::3,"Great food, good size menu, great service and an unpretensious setting.",setting,setting,positive,63,70
train,3074,3074::term::0,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,dinner,positive,23,29
train,3074,3074::term::1,Go here for a romantic dinner but not for an all out wow dining experience.,dining,dining,positive,57,63
train,1074,1074::term::0,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,dosa,neutral,17,21
train,912,912::term::0,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,wine list selection,positive,0,19
train,912,912::term::1,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,wine-by-the-glass,positive,32,49
train,728,728::term::0,"With the great variety on the menu , I eat here often and never get bored .",menu,menu,positive,30,34
train,2925,2925::term::0,The menu is very limited - i think we counted 4 or 5 entrees.,menu,menu,negative,4,8
train,2925,2925::term::1,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,entrees,negative,53,60
train,3436,3436::term::0,The menu is limited but almost all of the dishes are excellent.,menu,menu,negative,4,8
train,3436,3436::term::1,The menu is limited but almost all of the dishes are excellent.,dishes,dishes,positive,42,48
train,3273,3273::term::0,Not too crazy about their sake martini.,sake martini,sake martini,negative,26,38
train,1215,1215::term::0,"Great bagels, spreads and a good place to hang out in.",bagels,bagels,positive,6,12
train,1215,1215::term::1,"Great bagels, spreads and a good place to hang out in.",spreads,spreads,positive,14,21
train,183,183::term::0,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,service,conflict,4,11
train,282,282::term::0,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,table,neutral,90,95
train,3249,3249::term::0,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,food,positive,19,23
train,3207,3207::term::0,We always have a delicious meal and always leave feeling satisfied.,meal,meal,positive,27,31
train,672,672::term::0,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,ingredients,neutral,8,19
train,672,672::term::1,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,chopsticks,neutral,33,43
train,2972,2972::term::0,First went here to enjoy their garden terrace.,garden terrace,garden terrace,positive,31,45
train,1755,1755::term::0,The pizza was pretty good and huge.,pizza,pizza,positive,4,9
train,2277,2277::term::0,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,cuisine,neutral,4,11
train,3680,3680::term::0,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,atmosphere,positive,50,60
train,3155,3155::term::0,They are often crowded on the weekends but they are efficient and accurate with their service.,service,service,positive,86,93
train,3155,3155::term::1,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,crowded,negative,15,22
train,1688,1688::term::0,All my co-workers were amazed at how small the dish was.,dish,dish,negative,47,51
train,598,598::term::0,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,atmosphere,positive,4,14
train,598,598::term::1,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,service,positive,34,41
train,598,598::term::2,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,food,positive,61,65
train,2926,2926::term::0,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,grilled branzino,negative,24,40
train,3083,3083::term::0,"The wait staff is friendly, and the food has gotten better and better!",wait staff,wait staff,positive,4,14
train,3083,3083::term::1,"The wait staff is friendly, and the food has gotten better and better!",food,food,positive,36,40
train,2977,2977::term::0,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,vibe,positive,44,48
train,2977,2977::term::1,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,french food,positive,76,87
train,2977,2977::term::2,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,packed,negative,16,22
train,2604,2604::term::0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,pizza,positive,64,69
train,2604,2604::term::1,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,place,positive,48,53
train,2960,2960::term::0,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,pre-theater menu,positive,25,41
train,1383,1383::term::0,I also ordered for delivery and the restaurant forgot half the order.,delivery,delivery,negative,19,27
train,1383,1383::term::1,I also ordered for delivery and the restaurant forgot half the order.,order,order,negative,63,68
train,892,892::term::0,Our server checked on us maybe twice during the entire meal.,server,server,negative,4,10
train,892,892::term::1,Our server checked on us maybe twice during the entire meal.,meal,meal,neutral,55,59
train,2936,2936::term::0,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,scents,negative,11,17
train,3423,3423::term::0,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,lobster sandwich,positive,11,27
train,1197,1197::term::0,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,check,negative,143,148
train,2274,2274::term::0,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,spider roll,conflict,11,22
train,2274,2274::term::1,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,price,positive,124,129
train,2274,2274::term::2,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,shell crab,positive,67,77
train,2804,2804::term::0,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,deep fried skewers,positive,0,18
train,194,194::term::0,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,reservations,neutral,21,33
train,194,194::term::1,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,hostess,negative,55,62
train,148,148::term::0,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,rice dishes,positive,21,32
train,148,148::term::1,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),congee rice porridge ,positive,63,85
train,2747,2747::term::0,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,tuna tartar appetizer,positive,6,27
train,856,856::term::0,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,food,conflict,25,29
train,856,856::term::1,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,chef,positive,114,118
train,856,856::term::2,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,fish dishes,positive,186,197
train,856,856::term::3,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,soups,positive,202,207
train,856,856::term::4,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,kitchen,positive,134,141
train,856,856::term::5,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,cuisine,positive,104,111
train,2033,2033::term::0,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,wine,positive,12,16
train,2033,2033::term::1,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,french fare,positive,42,53
train,2033,2033::term::2,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,cheese,positive,21,27
train,1402,1402::term::0,I love Indian food and consider myself to be quite an expert on it.,Indian food,indian food,positive,7,18
train,439,439::term::0,Some baby pizzas get their wish.,baby pizzas,baby pizzas,neutral,5,16
train,2053,2053::term::0,Overall A oh ya even though there is waiting it is deff worth it,waiting,waiting,negative,37,44
train,3316,3316::term::0,The lava cake dessert was incredible and I recommend it.,lava cake dessert,lava cake dessert,positive,4,21
train,433,433::term::0,VT is what baby pizzas hope to be when they grow up.,baby pizzas,baby pizzas,neutral,11,22
train,738,738::term::0,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,service,negative,18,25
train,738,738::term::1,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,food,negative,40,44
train,738,738::term::2,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,managers,negative,81,89
train,1549,1549::term::0,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,food,positive,80,84
train,1549,1549::term::1,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,food,positive,152,156
train,1798,1798::term::0,The last time I went we were seated at a table in a corridor next to the kitchen.,table,table,negative,41,46
train,2941,2941::term::0,good selection of wines ranging from affordable to high end.,selection of wines,selection of wines,positive,5,23
train,362,362::term::0,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,italian decor,positive,46,59
train,2921,2921::term::0,Not impressed with the food.,food,food,negative,23,27
train,1909,1909::term::0,The entire dining experience was wonderful!,dining experience,dining experience,positive,11,28
train,1878,1878::term::0,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,wine selection,positive,4,18
train,1878,1878::term::1,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,reservation,neutral,101,112
train,858,858::term::0,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,service,positive,0,7
train,858,858::term::1,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,maitre,positive,91,97
train,858,858::term::2,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,reservation,negative,71,82
train,3376,3376::term::0,"Order the panang duck, it's fantastic.",panang duck,panang duck,positive,10,21
train,173,173::term::0,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,food,conflict,0,4
train,173,173::term::1,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,raw vegatables,negative,76,90
train,1836,1836::term::0,"Other than the crappy service from two individuals, it's great.",service,service,negative,22,29
train,1404,1404::term::0,They have authentic Indian at amazin prices.,Indian,indian,positive,20,26
train,1404,1404::term::1,They have authentic Indian at amazin prices.,prices,prices,positive,37,43
train,1819,1819::term::0,Ambiance- relaxed and stylish.,Ambiance,ambiance,positive,0,8
train,2639,2639::term::0,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,bbq salmon,positive,30,40
train,2639,2639::term::1,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,sea bass,positive,42,50
train,2639,2639::term::2,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,crispy duck,positive,55,66
train,1474,1474::term::0,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,ingredients,positive,20,31
train,1474,1474::term::1,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,ingredients,positive,48,59
train,1474,1474::term::2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,pizza,negative,80,85
train,1474,1474::term::3,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,crust,neutral,122,127
train,2059,2059::term::0,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,kababs,positive,54,60
train,2059,2059::term::1,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,dal bukhara,positive,8,19
train,926,926::term::0,I look forward to eating here again,eating,eating,positive,18,24
train,2385,2385::term::0,I've been coming here as a child and always come back for the taste.,taste,taste,positive,62,67
train,2498,2498::term::0,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,meal,positive,99,103
train,2498,2498::term::1,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,price,positive,114,119
train,2469,2469::term::0,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,glass of prosecco,positive,29,46
train,2469,2469::term::1,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,mussels,positive,56,63
train,2469,2469::term::2,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,glass of leaping lizard,positive,2,25
train,567,567::term::0,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,food,neutral,0,4
train,567,567::term::1,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,creme brulee,negative,21,33
train,567,567::term::2,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,sugar,negative,50,55
train,3517,3517::term::0,The food always tastes fresh and served promptly.,food,food,positive,4,8
train,3517,3517::term::1,The food always tastes fresh and served promptly.,served,served,positive,33,39
train,1599,1599::term::0,The pizza here is delicious.,pizza,pizza,positive,4,9
train,2548,2548::term::0,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,pizza,positive,0,5
train,2548,2548::term::1,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,delivery,positive,80,88
train,2548,2548::term::2,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,garlic knots,positive,10,22
train,759,759::term::0,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,chinese food,positive,10,22
train,3175,3175::term::0,But who says Murray's is anything about service.,service,service,neutral,40,47
train,2209,2209::term::0,"This place is really trendi but they have forgotten about the most important part of a restaurant, the food.",food,food,negative,104,108
train,1352,1352::term::0,Hats off to the chef.,chef,chef,positive,16,20
train,3537,3537::term::0,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,service,negative,0,7
train,3537,3537::term::1,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,teapot,positive,138,144
train,1743,1743::term::0,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,pizza,positive,4,9
train,1743,1743::term::1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,fresh mozzarella,positive,34,50
train,1743,1743::term::2,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,cheese,negative,90,96
train,1321,1321::term::0,Its an excellent place to relax and the food is one of the best in the city of New York.,place,place,positive,17,22
train,1321,1321::term::1,Its an excellent place to relax and the food is one of the best in the city of New York.,food,food,positive,40,44
train,2907,2907::term::0,"service is friendly, and never had a problem walking in and getting a table.",service,service,positive,0,7
train,2907,2907::term::1,"service is friendly, and never had a problem walking in and getting a table.",getting a table,getting a table,positive,60,75
train,1890,1890::term::0,The atmosphere was crowded but it was a great bistro-type vibe.,atmosphere,atmosphere,conflict,4,14
train,1890,1890::term::1,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,bistro-type vibe,positive,46,62
train,2588,2588::term::0,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,waitress,negative,15,23
train,2588,2588::term::1,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,tables,neutral,101,107
train,3130,3130::term::0,The food was bland oily.,food,food,negative,4,8
train,709,709::term::0,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,prices,positive,33,39
train,709,709::term::1,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,food,positive,77,81
train,1198,1198::term::0,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,fish,positive,4,8
train,1198,1198::term::1,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,variety of fish,negative,26,41
train,2302,2302::term::0,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,pesto pizza,positive,23,34
train,2302,2302::term::1,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,house salad,positive,40,51
train,2302,2302::term::2,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,bottle of wine,positive,64,78
train,2302,2302::term::3,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,meal,positive,13,17
train,1110,1110::term::0,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,bartender,positive,44,53
train,1110,1110::term::1,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,beverage manager,positive,15,31
train,973,973::term::0,"Ambiance and music funky, which I enjoy.",Ambiance,ambiance,positive,0,8
train,973,973::term::1,"Ambiance and music funky, which I enjoy.",music,music,positive,13,18
